Chr,Start,End,Symbol,Strand,TPM,,Gene_ID,Type,N_alu,N_events,Ed_Pri,Ed_Mat
chr7,128864864,129070052,AHCYL2,+,13.355,V,ENSG00000158467,protein_coding,84,1,0.143,0.0
chr7,130146079,130353588,COPG2,-,24.544,V,ENSG00000158623,protein_coding,20,1,0.013,0.0
chr11,76155967,76264069,EMSY,+,4.388,V,ENSG00000158636,protein_coding,19,1,0.2,0.0
chr1,19923473,19984949,NBL1,+,120.254,V,ENSG00000158747,protein_coding,23,1,0.6,0.0
chr8,22462145,22479027,CCAR2,+,28.007,V,ENSG00000158941,protein_coding,4,1,0.009,0.0
chr5,130581186,130734140,CDC42SE2,+,11.557,V,ENSG00000158985,protein_coding,65,1,0.286,0.0
chr11,77811982,77850699,ALG8,-,12.103,V,ENSG00000159063,protein_coding,24,1,0.6,0.0
chr21,34001069,34100359,SYNJ1,-,5.182,V,ENSG00000159082,protein_coding,29,1,0.333,0.0
chr17,45900638,45908907,MRPL10,-,26.365,V,ENSG00000159111,protein_coding,3,1,0.4,0.0
chr21,34931848,34961012,DONSON,-,7.338,V,ENSG00000159147,protein_coding,4,1,0.004,0.0
chr1,201452658,201478584,CSRP1,-,109.142,V,ENSG00000159176,protein_coding,3,1,1,0.0
chr17,46970127,46973233,ATP5MC1,+,62.084,V,ENSG00000159199,protein_coding,1,1,0.333,0.0
chr21,37692487,37758446,MORC3,+,26.396,V,ENSG00000159256,protein_coding,45,1,0.4,0.0
chr17,43471268,43511787,ARHGAP27,-,24.424,V,ENSG00000159314,protein_coding,9,1,0.6,0.0
chr1,151372036,151374413,PSMB4,+,133.991,V,ENSG00000159377,protein_coding,0,1,0.002,0.0
chr2,75061108,75120486,HK2,+,69.318,V,ENSG00000159399,protein_coding,11,1,0.011,0.0
chr1,47140831,47184786,EFCAB14,-,63.609,V,ENSG00000159658,protein_coding,8,1,0.2,0.0
chr7,143078388,143088204,ZYX,+,143.302,V,ENSG00000159840,protein_coding,1,1,0.004,0.0
chr1,32680073,32687960,TMEM234,-,10.353,V,ENSG00000160055,protein_coding,3,1,0.2,0.0
chr1,1189289,1209265,UBE2J2,-,22.901,V,ENSG00000160087,protein_coding,10,1,0.4,0.0
chr3,122078438,122102078,CCDC58,-,13.139,V,ENSG00000160124,protein_coding,6,1,0.111,0.0
chrX,150564987,150577836,VMA21,+,12.21,V,ENSG00000160131,protein_coding,4,1,0.067,0.0
chr21,48055507,48085036,PRMT2,+,37.775,V,ENSG00000160310,protein_coding,4,1,0.2,0.0
chr11,118097405,118123080,MPZL3,-,59.413,V,ENSG00000160588,protein_coding,7,1,0.016,0.0
chr1,156052364,156109880,LMNA,+,163.469,V,ENSG00000160789,protein_coding,25,1,0.002,0.0
chr8,145703352,145727504,PPP1R16A,+,11.033,V,ENSG00000160972,protein_coding,15,1,0.056,0.0
chr5,179159823,179204284,MAML1,+,27.193,V,ENSG00000161021,protein_coding,34,1,0.111,0.0
chr11,537527,554912,LRRC56,+,6.957,V,ENSG00000161328,protein_coding,7,1,0.111,0.0
chr17,74523438,74547257,CYGB,-,12.435,V,ENSG00000161544,protein_coding,6,1,0.1,0.0
chr17,42247815,42256451,ASB16,+,2.493,V,ENSG00000161664,protein_coding,4,1,0.077,0.0
chr19,50979657,50994127,EMC10,+,17.552,V,ENSG00000161671,protein_coding,5,1,0.286,0.0
chr12,50786166,50873787,LARP4,+,12.128,V,ENSG00000161813,protein_coding,62,1,0.714,0.0
chr17,6915954,6920839,RNASEK-C17orf49,+,0.045,V,ENSG00000161939,protein_coding,0,1,0.125,0.0
chr11,65142663,65151172,SLC25A45,-,3.067,V,ENSG00000162241,protein_coding,3,1,0.125,0.0
chr1,47649254,47656716,PDZK1IP1,-,698.033,V,ENSG00000162366,protein_coding,1,1,0.028,0.0
chr1,47799469,47844511,CMPK1,+,151.976,V,ENSG00000162368,protein_coding,36,1,0.077,0.0
chr1,16083102,16113089,FBLIM1,+,23.301,V,ENSG00000162458,protein_coding,23,1,0.021,0.0
chr1,1288069,1297157,MXRA8,-,46.602,V,ENSG00000162576,protein_coding,1,1,0.014,0.0
chr1,160313106,160328742,NCSTN,+,65.529,V,ENSG00000162736,protein_coding,3,1,0.024,0.0
chr1,147101453,147142646,ACP6,-,4.863,V,ENSG00000162836,protein_coding,4,1,0.2,0.0
chr1,246729746,246831897,CNST,+,10.797,V,ENSG00000162852,protein_coding,45,1,0.333,0.0
chr2,109403213,109501933,CCDC138,+,1.538,V,ENSG00000163006,protein_coding,34,1,0.4,0.0
chr4,52886872,52904648,SGCB,-,8.161,V,ENSG00000163069,protein_coding,2,1,0.045,0.0
chr1,151142463,151167797,VPS72,-,14.405,V,ENSG00000163159,protein_coding,15,1,0.091,0.0
chr2,70674416,70781325,TGFA,-,75.403,V,ENSG00000163235,protein_coding,10,1,0.125,0.0
chr2,159651829,159719293,DAPL1,+,111.807,V,ENSG00000163331,protein_coding,23,1,0.333,0.0
chr1,154929502,154936329,PYGO2,-,33.762,V,ENSG00000163348,protein_coding,1,1,0.014,0.0
chr3,30647994,30735634,TGFBR2,+,27.742,V,ENSG00000163513,protein_coding,14,1,0.011,0.0
chr3,112709765,112733907,GTPBP8,+,7.126,V,ENSG00000163607,protein_coding,3,1,0.143,0.0
chr3,112721291,112738708,NEPRO,-,10.319,V,ENSG00000163608,protein_coding,1,1,0.083,0.0
chr3,9987226,9994092,PRRT3,-,1.786,V,ENSG00000163704,protein_coding,3,1,0.125,0.0
chr3,148847371,148891519,HPS3,+,6.939,V,ENSG00000163755,protein_coding,9,1,0.2,0.0
chr3,133317019,133381224,TOPBP1,-,13.82,V,ENSG00000163781,protein_coding,22,1,0.6,0.0
chr3,183415585,183530412,YEATS2,+,14.099,V,ENSG00000163872,protein_coding,56,1,0.032,0.0
chr3,186507669,186524847,RFC4,-,10.216,V,ENSG00000163918,protein_coding,6,1,1,0.0
chr3,56654161,56717265,TASOR,-,14.343,V,ENSG00000163946,protein_coding,28,1,0.057,0.0
chr4,6695605,6698897,S100P,+,524.906,V,ENSG00000163993,protein_coding,0,1,0.031,0.0
chr4,175204881,175254531,CEP44,+,5.497,V,ENSG00000164118,protein_coding,5,1,1,0.0
chr5,94890778,94940768,ARSK,+,2.107,V,ENSG00000164291,protein_coding,10,1,0.333,0.0
chr4,185548850,185570663,CASP3,-,50.037,V,ENSG00000164305,protein_coding,6,1,1,0.0
chr5,72848015,72861492,ANKRA2,-,15.714,V,ENSG00000164331,protein_coding,5,1,1,0.0
chr4,186990306,187009223,TLR3,+,6.509,V,ENSG00000164342,protein_coding,5,1,0.067,0.0
chr5,74017031,74062972,GFM2,-,14.243,V,ENSG00000164347,protein_coding,8,1,0.029,0.0
chr5,153570290,153800544,GALNT10,+,3.615,V,ENSG00000164574,protein_coding,27,1,0.167,0.0
chr8,82644683,82671750,CHMP4C,+,19.057,V,ENSG00000164695,protein_coding,4,1,0.071,0.0
chr7,97736174,97838950,LMTK2,+,17.248,V,ENSG00000164715,protein_coding,28,1,0.059,0.0
chr7,766336,826112,DNAAF5,+,11.334,V,ENSG00000164818,protein_coding,19,1,1,0.0
chr7,1468101,1499106,MICALL2,-,22.882,V,ENSG00000164877,protein_coding,8,1,0.067,0.0
chr8,94767072,94831462,TMEM67,+,1.513,V,ENSG00000164953,protein_coding,26,1,0.2,0.0
chr9,86449014,86536380,KIF27,-,1.858,V,ENSG00000165115,protein_coding,30,1,0.167,0.0
chr9,128024073,128129486,GAPVD1,+,11.126,V,ENSG00000165219,protein_coding,65,1,0.018,0.0
chr8,30891304,31033432,WRN,+,4.787,V,ENSG00000165392,protein_coding,42,1,0.111,0.0
chr10,45950033,46090354,MARCH8,-,9.122,V,ENSG00000165406,protein_coding,25,1,0.083,0.0
chr14,89078775,89259096,AL121768.1,-,0.265,V,ENSG00000165521,protein_coding,52,1,0.143,0.0
chr14,89290497,89347422,TTC8,+,5.218,V,ENSG00000165533,protein_coding,9,1,0.2,0.0
chr9,135753414,135765588,SPACA9,+,8.595,V,ENSG00000165698,protein_coding,5,1,0.045,0.0
chr9,135766735,135822261,TSC1,-,9.52,V,ENSG00000165699,protein_coding,13,1,0.8,0.0
chr10,30301732,30404423,JCAD,-,3.373,V,ENSG00000165757,protein_coding,29,1,0.071,0.0
chr5,180467225,180488521,BTNL9,+,3.299,V,ENSG00000165810,protein_coding,1,1,0.125,0.0
chr10,115880621,115933991,CCDC186,-,12.349,V,ENSG00000165813,protein_coding,18,1,0.023,0.0
chr14,73436159,73493839,ZFYVE1,-,16.786,V,ENSG00000165861,protein_coding,41,1,0.4,0.0
chr11,47199073,47207994,PACSIN3,-,63.829,V,ENSG00000165912,protein_coding,1,1,0.125,0.0
chr14,93648544,93651268,MOAP1,-,18.351,V,ENSG00000165943,protein_coding,0,1,0.026,0.0
chr11,93394848,93463524,CEP295,+,3.006,V,ENSG00000166004,protein_coding,28,1,0.036,0.0
chr14,103388993,103399933,AMN,+,17.301,V,ENSG00000166126,protein_coding,2,1,0.006,0.0
chr15,40861498,40867148,RPUSD2,+,7.834,V,ENSG00000166133,protein_coding,4,1,0.167,0.0
chr15,49398265,49447858,COPS2,-,17.879,V,ENSG00000166200,protein_coding,11,1,0.067,0.0
chr10,72575717,72640930,SGPL1,+,33.603,V,ENSG00000166224,protein_coding,14,1,0.022,0.0
chr10,75404639,75423561,SYNPO2L,-,3.769,V,ENSG00000166317,protein_coding,8,1,0.091,0.0
chr11,108179246,108338258,C11orf65,-,0.187,V,ENSG00000166323,protein_coding,46,1,0.091,0.0
chr11,8932686,8941631,AKIP1,+,19.296,V,ENSG00000166452,protein_coding,5,1,0.032,0.0
chr16,66965968,66968326,CIAO2B,-,94.06,V,ENSG00000166595,protein_coding,0,1,0.125,0.0
chr15,64448011,64455404,PPIB,-,105.964,V,ENSG00000166794,protein_coding,4,1,0.001,0.0
chr15,64364764,64386056,CIAO2A,-,17.491,V,ENSG00000166797,protein_coding,12,1,0.2,0.0
chr16,23688977,23701688,PLK1,+,8.453,V,ENSG00000166851,protein_coding,7,1,0.2,0.0
chr12,57489191,57525922,STAT6,-,134.237,V,ENSG00000166888,protein_coding,12,1,0.2,0.0
chr11,59480929,59573355,STX3,+,10.806,V,ENSG00000166900,protein_coding,34,1,0.125,0.0
chr20,43514343,43537173,YWHAB,+,100.14,V,ENSG00000166913,protein_coding,6,1,0.005,0.0
chr15,44038608,44065476,PDIA3,+,153.536,V,ENSG00000167004,protein_coding,21,1,0.2,0.0
chr18,19192275,19213485,SNRPD1,+,15.734,V,ENSG00000167088,protein_coding,18,1,0.1,0.0
chr16,50700211,50715264,SNX20,-,1.228,V,ENSG00000167208,protein_coding,2,1,0.286,0.0
chr17,37617739,37721160,CDK12,+,14.028,V,ENSG00000167258,protein_coding,60,1,0.167,0.0
chr11,4619902,4629461,TRIM68,-,7.882,V,ENSG00000167333,protein_coding,0,1,0.909,0.0
chr16,89724210,89737680,SPATA33,+,3.225,V,ENSG00000167523,protein_coding,8,1,1,0.0
chr12,48730963,48745197,ZNF641,-,8.413,V,ENSG00000167528,protein_coding,1,1,0.143,0.0
chr12,49207577,49222724,CACNB3,+,13.877,V,ENSG00000167535,protein_coding,2,1,0.143,0.0
chr12,49578578,49582863,TUBA1A,-,62.691,V,ENSG00000167552,protein_coding,0,1,0.005,0.0
chr19,38794198,38807913,YIF1B,-,13.059,V,ENSG00000167645,protein_coding,7,1,0.125,0.0
chr19,56643968,56672262,ZNF444,+,7.646,V,ENSG00000167685,protein_coding,6,1,0.143,0.0
chr8,145734453,145736596,MFSD3,+,28.059,V,ENSG00000167700,protein_coding,0,1,0.024,0.0
chr19,51558883,51568371,KLK13,-,1715.833,V,ENSG00000167759,protein_coding,1,1,0.02,0.0
chr11,67373124,67380025,NDUFV1,+,81.795,V,ENSG00000167792,protein_coding,1,1,0.013,0.0
chr8,56608983,56685966,TMEM68,-,3.941,V,ENSG00000167904,protein_coding,27,1,0.111,0.0
chr17,38109516,38134019,GSDMA,+,9.316,V,ENSG00000167914,protein_coding,17,1,0.111,0.0
chr16,2273581,2285743,E4F1,+,15.87,V,ENSG00000167967,protein_coding,4,1,0.143,0.0
chr11,61066923,61110068,DDB1,-,34.939,V,ENSG00000167986,protein_coding,14,1,0.4,0.0
chr11,60897729,60929087,VPS37C,-,24.037,V,ENSG00000167987,protein_coding,9,1,0.2,0.0
chr11,73723759,73882255,C2CD3,-,4.436,V,ENSG00000168014,protein_coding,42,1,0.2,0.0
chr3,41236232,41301587,CTNNB1,+,56.869,V,ENSG00000168036,protein_coding,6,1,0.2,0.0
chr11,64532078,64546258,SF1,-,111.504,V,ENSG00000168066,protein_coding,0,1,0.08,0.0
chr7,99686592,99689810,COPS6,+,62.834,V,ENSG00000168090,protein_coding,1,1,0.167,0.0
chr1,229406809,229441641,RAB4A,+,24.338,V,ENSG00000168118,protein_coding,5,1,0.2,0.0
chr3,9439299,9520924,SETD5,+,26.731,V,ENSG00000168137,protein_coding,19,1,0.011,0.0
chr1,228675083,228683889,RNF187,+,100.716,V,ENSG00000168159,protein_coding,3,1,0.1,0.0
chr4,25314396,25372005,ZCCHC4,+,4.581,V,ENSG00000168228,protein_coding,16,1,0.063,0.0
chr18,21572737,21715574,TTC39C,+,5.585,V,ENSG00000168234,protein_coding,46,1,0.067,0.0
chr2,150426151,150444292,MMADHC,-,86.141,V,ENSG00000168288,protein_coding,3,1,0.2,0.0
chr16,74655297,74700775,RFWD3,-,11.672,V,ENSG00000168411,protein_coding,31,1,0.037,0.0
chr16,23399814,23464510,COG7,-,15.064,V,ENSG00000168434,protein_coding,44,1,0.558,0.0
chr18,8705659,8832776,MTCL1,+,2.675,V,ENSG00000168502,protein_coding,21,1,0.2,0.0
chr1,110198721,110217458,GSTM4,+,10.923,V,ENSG00000168765,protein_coding,6,1,0.006,0.0
chr4,1717679,1723085,TMEM129,-,43.476,V,ENSG00000168936,protein_coding,1,1,0.059,0.0
chr8,48920975,48977268,UBE2V2,+,15.275,V,ENSG00000169139,protein_coding,39,1,0.125,0.0
chr1,55505221,55530525,PCSK9,+,19.308,V,ENSG00000169174,protein_coding,3,1,0.2,0.0
chr7,23637001,23684327,CCDC126,+,3.905,V,ENSG00000169193,protein_coding,16,1,0.833,0.0
chr16,30368423,30381815,TBC1D10B,-,22.374,V,ENSG00000169221,protein_coding,8,1,0.111,0.0
chr1,155107820,155111333,SLC50A1,+,34.351,V,ENSG00000169241,protein_coding,1,1,0.012,0.0
chrX,15808595,15841383,ZRSR2,+,13.764,V,ENSG00000169249,protein_coding,16,1,0.2,0.0
chr2,69622882,69664760,NFU1,-,18.153,V,ENSG00000169599,protein_coding,36,1,0.2,0.0
chr17,79934683,79975282,ASPSCR1,+,6.163,V,ENSG00000169696,protein_coding,16,1,0.2,0.0
chr17,80015382,80023763,DUS1L,-,45.08,V,ENSG00000169718,protein_coding,0,1,0.029,0.0
chr4,30722037,31148427,PCDH7,+,4.92,V,ENSG00000169851,protein_coding,54,1,0.053,0.0
chr3,149086809,149095479,TM4SF1,-,168.49,V,ENSG00000169908,protein_coding,2,1,0.002,0.0
chr9,136895427,136933657,BRD3,-,9.175,V,ENSG00000169925,protein_coding,6,1,0.024,0.0
chr2,128056306,128146041,MAP3K2,-,10.305,V,ENSG00000169967,protein_coding,31,1,0.4,0.0
chr2,128293378,128395304,MYO7B,+,1.053,V,ENSG00000169994,protein_coding,21,1,0.2,0.0
chr7,75122945,75133628,SPDYE5,+,0.61,V,ENSG00000170092,protein_coding,7,1,0.4,0.0
chr3,23847394,23932807,UBE2E1,+,50.546,V,ENSG00000170142,protein_coding,33,1,0.004,0.0
chr17,7348380,7361029,CHRNB1,+,3.748,V,ENSG00000170175,protein_coding,8,1,0.063,0.0
chr20,25593571,25604650,NANP,-,6.079,V,ENSG00000170191,protein_coding,3,1,0.267,0.0
chr21,33664124,33687095,MRAP,+,0.066,V,ENSG00000170262,protein_coding,10,1,0.024,0.0
chr3,33038101,33138694,GLB1,-,15.55,V,ENSG00000170266,protein_coding,32,1,0.2,0.0
chr17,7154735,7163259,ELP5,+,18.711,V,ENSG00000170291,protein_coding,4,1,0.167,0.0
chr17,9153788,9479908,STX8,-,10.368,V,ENSG00000170310,protein_coding,158,1,0.167,0.0
chr12,53290971,53343738,KRT8,-,14.631,V,ENSG00000170421,protein_coding,27,1,0.05,0.0
chr5,138732252,138739777,SPATA24,-,3.518,V,ENSG00000170469,protein_coding,5,1,0.2,0.0
chr2,101436601,101613291,NPAS2,+,20.929,V,ENSG00000170485,protein_coding,37,1,0.2,0.0
chr12,56498321,56507694,PA2G4,+,72.682,V,ENSG00000170515,protein_coding,3,1,0.167,0.0
chr12,51638342,51664199,SMAGP,-,63.735,V,ENSG00000170545,protein_coding,22,1,0.2,0.0
chr2,54197975,54532437,ACYP2,+,3.697,V,ENSG00000170634,protein_coding,130,1,0.4,0.0
chr22,50624344,50638027,TRABD,+,69.177,V,ENSG00000170638,protein_coding,5,1,0.4,0.0
chr10,32297943,32345353,KIF5B,-,53.653,V,ENSG00000170759,protein_coding,11,1,0.4,0.0
chr8,57212569,57233335,SDR16C5,-,65.254,V,ENSG00000170786,protein_coding,5,1,0.143,0.0
chr19,54606036,54612564,NDUFA3,+,24.492,V,ENSG00000170906,protein_coding,2,1,0.2,0.0
chr19,54597933,54606000,OSCAR,-,2.202,V,ENSG00000170909,protein_coding,5,1,0.167,0.0
chr6,52226219,52272575,PAQR8,+,8.063,V,ENSG00000170915,protein_coding,13,1,0.125,0.0
chr8,10581278,10588021,SOX7,-,42.429,V,ENSG00000171056,protein_coding,1,1,0.009,0.0
chr19,11959541,11994565,ZNF439,+,1.711,V,ENSG00000171291,protein_coding,20,1,1,0.0
chr10,99185948,99193201,PGAM1,+,158.091,V,ENSG00000171314,protein_coding,3,1,0.167,0.0
chr1,112313284,112531777,KCND3,-,5.195,V,ENSG00000171385,protein_coding,12,1,0.167,0.0
chr5,76986991,77164604,TBCA,-,39.896,V,ENSG00000171530,protein_coding,30,1,0.002,0.0
chr19,58912871,58929694,ZNF584,+,6.103,V,ENSG00000171574,protein_coding,6,1,0.2,0.0
chr1,6526152,6580121,PLEKHG5,-,47.601,V,ENSG00000171680,protein_coding,28,1,0.5,0.0
chr15,45653322,45694525,GATM,-,16.246,V,ENSG00000171766,protein_coding,8,1,0.02,0.0
chr3,49158547,49170551,LAMB2,-,58.287,V,ENSG00000172037,protein_coding,3,1,0.667,0.0
chr3,48332212,48343175,NME6,-,7.403,V,ENSG00000172113,protein_coding,3,1,0.03,0.0
chr5,43065278,43192123,ZNF131,+,7.17,V,ENSG00000172262,protein_coding,65,1,0.2,0.0
chr11,118992297,119006754,HINFP,+,6.297,V,ENSG00000172273,protein_coding,5,1,0.6,0.0
chr4,119771843,119982402,SYNPO2,+,35.641,V,ENSG00000172403,protein_coding,41,1,0.009,0.0
chr17,60421302,60493840,EFCAB3,+,0.029,V,ENSG00000172421,protein_coding,29,1,1,0.0
chr4,87856154,88062206,AFF1,+,27.614,V,ENSG00000172493,protein_coding,60,1,0.6,0.0
chr17,72199721,72206794,RPL38,+,117.453,V,ENSG00000172809,protein_coding,3,1,0.143,0.0
chr8,65500320,65711294,CYP7B1,-,9.383,V,ENSG00000172817,protein_coding,17,1,0.04,0.0
chr11,69061605,69182494,MYEOV,+,15.253,V,ENSG00000172927,protein_coding,10,1,0.8,0.0
chr3,72937224,73047289,GXYLT2,+,0.626,V,ENSG00000172986,protein_coding,70,1,0.4,0.0
chr2,204259068,204400058,RAPH1,-,1.162,V,ENSG00000173166,protein_coding,68,1,0.091,0.0
chr3,122399686,122449687,PARP14,+,16.85,V,ENSG00000173193,protein_coding,9,1,0.021,0.0
chr8,9413422,9639856,TNKS,+,6.884,V,ENSG00000173273,protein_coding,34,1,0.167,0.0
chr8,8993765,9009084,PPP1R3B,-,27.74,V,ENSG00000173281,protein_coding,2,1,0.022,0.0
chr1,19810897,19956315,MICOS10,+,7.165,V,ENSG00000173436,protein_coding,94,1,0.6,0.0
chr3,49754277,49761384,GMPPB,-,17.445,V,ENSG00000173540,protein_coding,1,1,0.012,0.0
chr15,93443419,93571226,CHD2,+,19.624,V,ENSG00000173575,protein_coding,37,1,0.167,0.0
chr1,16340523,16346089,HSPB7,-,20.129,V,ENSG00000173641,protein_coding,0,1,0.646,0.0
chr1,235272656,235292152,TOMM20,-,86.694,V,ENSG00000173726,protein_coding,14,1,0.2,0.0
chr15,89002732,89089816,AC013489.1,-,0.027,V,ENSG00000173867,protein_coding,22,1,0.143,0.0
chr3,196295482,196315930,FBXO45,+,9.523,V,ENSG00000174013,protein_coding,7,1,0.8,0.0
chr1,84964008,84972264,GNG5,-,60.074,V,ENSG00000174021,protein_coding,1,1,0.002,0.0
chr12,65563363,65642135,LEMD3,+,14.157,V,ENSG00000174106,protein_coding,14,1,0.2,0.0
chr16,88772891,88781804,CTU2,+,8.067,V,ENSG00000174177,protein_coding,0,1,0.2,0.0
chr8,101585117,101675643,SNX31,-,17.214,V,ENSG00000174226,protein_coding,28,1,0.167,0.0
chr11,66233798,66244808,PELI3,+,6.945,V,ENSG00000174516,protein_coding,3,1,0.111,0.0
chr11,66129992,66139685,SLC29A2,-,15.765,V,ENSG00000174669,protein_coding,3,1,1,0.0
chr1,92711959,92764544,GLMN,-,9.005,V,ENSG00000174842,protein_coding,12,1,0.4,0.0
chr11,66052051,66056616,YIF1A,-,42.593,V,ENSG00000174851,protein_coding,1,1,0.083,0.0
chr11,448268,491399,PTDSS2,+,7.634,V,ENSG00000174915,protein_coding,14,1,0.143,0.0
chr3,153990335,154042276,DHX36,-,9.8,V,ENSG00000174953,protein_coding,20,1,1,0.0
chr11,46639077,46696368,ATG13,+,24.904,V,ENSG00000175224,protein_coding,40,1,0.019,0.0
chr5,177635472,177659803,PHYKPL,-,18.172,V,ENSG00000175309,protein_coding,4,1,0.2,0.0
chr18,14057456,14132489,ZNF519,-,2.074,V,ENSG00000175322,protein_coding,8,1,0.333,0.0
chr11,65764016,65769647,EIF1AD,-,16.257,V,ENSG00000175376,protein_coding,1,1,0.5,0.0
chr11,67118243,67124443,POLD4,-,16.786,V,ENSG00000175482,protein_coding,1,1,0.028,0.0
chr19,18501947,18508432,LRRC25,-,1.672,V,ENSG00000175489,protein_coding,5,1,0.2,0.0
chr12,38710564,38723523,ALG10B,+,2.437,V,ENSG00000175548,protein_coding,0,1,0.067,0.0
chr11,73498361,73576178,MRPL48,+,8.248,V,ENSG00000175581,protein_coding,54,1,1,0.0
chr16,14014014,14046202,ERCC4,+,1.815,V,ENSG00000175595,protein_coding,7,1,0.4,0.0
chr19,2933216,2944969,ZNF77,-,5.286,V,ENSG00000175691,protein_coding,8,1,0.6,0.0
chr16,30960389,30967782,ORAI3,+,9.689,V,ENSG00000175938,protein_coding,4,1,0.029,0.0
chr14,65405870,65409623,GPX2,-,210.077,V,ENSG00000176153,protein_coding,0,1,0.125,0.0
chr17,29158984,29222887,ATAD5,+,2.979,V,ENSG00000176208,protein_coding,61,1,0.333,0.0
chr15,92396938,92715665,SLCO3A1,+,11.256,V,ENSG00000176463,protein_coding,42,1,0.143,0.0
chr19,2511217,2702692,GNG7,-,4.872,V,ENSG00000176533,protein_coding,130,1,1,0.0
chr17,30819540,31204195,MYO1D,-,50.238,V,ENSG00000176658,protein_coding,118,1,0.006,0.0
chr17,62850430,62915598,LRRC37A3,-,1.755,V,ENSG00000176809,protein_coding,32,1,0.111,0.0
chr18,13663346,13726662,FAM210A,-,9.594,V,ENSG00000177150,protein_coding,10,1,0.2,0.0
chr17,1957448,1966535,HIC1,+,2.96,V,ENSG00000177374,protein_coding,0,1,0.333,0.0
chr3,14989091,15095107,NR2C2,+,12.047,V,ENSG00000177463,protein_coding,41,1,0.025,0.0
chr16,54317216,54320699,IRX3,-,36.646,V,ENSG00000177508,protein_coding,0,1,0.007,0.0
chr11,809965,812880,RPLP2,+,715.571,V,ENSG00000177600,protein_coding,2,1,0.091,0.0
chr1,59246460,59249999,JUN,-,107.675,V,ENSG00000177606,protein_coding,0,1,0.003,0.0
chr16,90036206,90038942,CENPBD1,-,7.221,V,ENSG00000177946,protein_coding,0,1,0.154,0.0
chr12,48541572,48574996,ASB8,-,17.621,V,ENSG00000177981,protein_coding,7,1,0.014,0.0
chr2,200776016,200820658,C2orf69,+,5.49,V,ENSG00000178074,protein_coding,16,1,0.083,0.0
chr19,19623227,19626494,TSSK6,-,2.701,V,ENSG00000178093,protein_coding,1,1,0.2,0.0
chr6,44238203,44275243,TMEM151B,+,0.016,V,ENSG00000178233,protein_coding,3,1,0.067,0.0
chr19,2360236,2426237,TMPRSS9,+,0.775,V,ENSG00000178297,protein_coding,52,1,0.2,0.0
chr17,40004770,40021676,KLHL11,-,1.168,V,ENSG00000178502,protein_coding,14,1,0.143,0.0
chr1,9908334,9970394,CTNNBIP1,-,93.968,V,ENSG00000178585,protein_coding,34,1,0.4,0.0
chr17,62116502,62208179,ERN1,-,13.141,V,ENSG00000178607,protein_coding,17,1,0.034,0.0
chr18,52254988,52266724,DYNAP,+,70.314,V,ENSG00000178690,protein_coding,2,1,0.167,0.0
chr14,55738139,55828636,FBXO34,+,55.198,V,ENSG00000178974,protein_coding,37,1,0.2,0.0
chr17,8076555,8079717,TMEM107,-,5.719,V,ENSG00000179029,protein_coding,1,1,0.2,0.0
chr16,67218282,67224088,EXOC3L1,-,3.883,V,ENSG00000179044,protein_coding,0,1,0.2,0.0
chr8,145153536,145163027,SHARPIN,-,37.411,V,ENSG00000179526,protein_coding,4,1,0.364,0.0
chr11,6518490,6614988,DNHD1,+,2.746,V,ENSG00000179532,protein_coding,18,1,0.2,0.0
chr19,58208735,58220562,ZNF154,-,1.931,V,ENSG00000179909,protein_coding,4,1,0.4,0.0
chr14,55493948,55516207,SOCS4,+,6.589,V,ENSG00000180008,protein_coding,5,1,0.111,0.0
chr16,30389427,30411429,ZNF48,+,4.124,V,ENSG00000180035,protein_coding,19,1,0.167,0.0
chr8,143852615,143859226,LYNX1,-,28.07,V,ENSG00000180155,protein_coding,0,1,0.018,0.0
chr17,42750437,42767147,CCDC43,-,12.949,V,ENSG00000180329,protein_coding,4,1,0.2,0.0
chr3,121350246,121379774,HCLS1,-,9.563,V,ENSG00000180353,protein_coding,9,1,0.2,0.0
chr10,92922769,93044094,PCGF5,+,8.407,V,ENSG00000180628,protein_coding,13,1,0.1,0.0
chr6,3231637,3303607,PSMG4,+,4.057,V,ENSG00000180822,protein_coding,15,1,0.2,0.0
chrX,153058971,153063960,SSR4,+,54.901,V,ENSG00000180879,protein_coding,1,1,0.125,0.0
chr8,144873090,144897943,SCRIB,-,157.805,V,ENSG00000180900,protein_coding,3,1,0.083,0.0
chr17,73028670,73061984,KCTD2,+,19.973,V,ENSG00000180901,protein_coding,20,1,0.143,0.0
chr19,47249303,47280245,FKRP,+,8.457,V,ENSG00000181027,protein_coding,32,1,0.2,0.0
chr17,62180,236045,RPH3AL,-,7.811,V,ENSG00000181031,protein_coding,37,1,0.063,0.0
chr8,144766622,144796068,ZNF707,+,4.477,V,ENSG00000181135,protein_coding,9,1,0.167,0.0
chr17,55912142,55927417,MRPS23,-,6.999,V,ENSG00000181610,protein_coding,11,1,0.4,0.0
chr7,5346421,5465045,TNRC18,-,24.915,V,ENSG00000182095,protein_coding,77,1,0.167,0.0
chr14,61744088,61748558,TMEM30B,-,27.55,V,ENSG00000182107,protein_coding,0,1,0.038,0.0
chr17,73512141,73520816,TSEN54,+,29.976,V,ENSG00000182173,protein_coding,2,1,0.038,0.0
chrX,15843929,15873054,AP1S2,-,4.501,V,ENSG00000182287,protein_coding,5,1,0.2,0.0
